Flightno,FlightDepcode,FlightArrcode,PlannedDeptime,PlannedArrtime,prob
FU6556,HRB,FOC,1499571300,1499592000,0.9894795751295338
QW9845,LYG,CGQ,1499571300,1499578800,0.9815197797171179
TV9875,LXA,SZX,1499655600,1499669400,0.9815547802692502
GY7118,TNA,KWE,1499655600,1499666100,0.9770578648454634
CZ6353,CGO,CKG,1499656200,1499662800,0.9751088475025691
SC4693,TSN,ZUH,1499656500,1499668800,0.9917845719388567
HU7390,ENY,PEK,1499657100,1499662500,0.9459959136881391
TV9834,LZY,LXA,1499657100,1499659800,0.9786588487603188
8L9684,KHN,KMG,1499657100,1499669400,0.9776437137069085
8L9721,KMG,INC,1499657400,1499667900,0.9673084817759792
FU6647,YIH,TYN,1499658900,1499664600,0.9769849368280146
8L9933,KMG,TCZ,1499746200,1499749800,0.9724133753661097
MU2207,ENY,XIY,1499746200,1499748900,0.9188182583986017
GX7846,INC,NNG,1499747400,1499758200,0.9741395549663884
QW9839,LHW,DNH,1499747400,1499753700,0.9770045863456052
SC4798,INC,WUH,1499747700,1499755200,0.9818288233806893
8L9613,CGO,NNG,1499747700,1499756100,0.9834413588675956
SC4798,INC,XMN,1499747700,1499764200,0.9937087667370479
MU2464,TNH,TAO,1499748300,1499753700,0.9734439065572552
GS6659,HET,KWL,1499748600,1499762700,0.981022651053419
GS6659,HET,CIH,1499748600,1499752800,0.9733245734651842
GX8980,LHW,YBP,1499748600,1499754600,0.9723328303743078
GY7142,SJW,KWE,1499748900,1499764500,0.9880475489868621
MU5491,PEK,LZO,1499832000,1499844000,0.9776962600285832
MU2207,ENY,XIY,1499832600,1499835300,0.9234699340149022
SC8732,KWL,TAO,1499832600,1499849400,0.9869470131566358
SC8732,KWL,WUH,1499832600,1499838000,0.9613455066242905
SC4798,INC,WUH,1499834100,1499841600,0.9855307716159534
AQ1068,TSN,KWE,1499834100,1499844000,0.9285671839097159
SC4798,INC,XMN,1499834100,1499850600,0.9950618818196969
CZ6629,HGH,CGQ,1499835300,1499845800,0.9768962794372608
GX8821,NNG,TSN,1499922000,1499938200,0.9907519016599059
GY7142,SJW,KWE,1499922000,1499937300,0.983616347622749
GS1113,TSN,NAY,1499922000,1499929200,0.983817814093325
8L9935,KMG,LUM,1499922300,1499925600,0.985511910168764
8L9628,LXA,KGT,1499922600,1499930400,0.9849599267202965
GS7523,CGO,SYX,1499923200,1499934600,0.9864488239114038
GY7114,KHN,KWE,1499923500,1499930100,0.970477983535286
8L9857,KMG,TCZ,1499925300,1499929200,0.9747113791683417
GS1113,TSN,NAY,1500008400,1500015600,0.9822298772558404
FU6673,FOC,LHW,1500009000,1500026400,0.9914993811121392
FU6673,FOC,KHN,1500009000,1500013800,0.9669986586915033
CZ6871,URC,KCA,1500010800,1500014100,0.9772763935458958
GX7892,LHW,TNA,1500010800,1500024000,0.9851954743810563
JR1508,HZG,XIY,1500011100,1500014100,0.9793528653121369
GX7887,TNA,KWE,1500011400,1500025800,0.9819392621827877
GS1114,NAY,TSN,1500098400,1500105600,0.9793458080063613
DZ6278,YNT,CGQ,1500099300,1500105600,0.987006332016798
FU6648,TYN,YIH,1500100200,1500105600,0.9799452953703086
CZ3555,SZX,HGH,1500101100,1500109200,0.9862209618167814
MU2338,XIY,KMG,1500101100,1500109800,0.9693207339874123
SC8732,WUH,TAO,1500101400,1500108600,0.9822467798652169
MU5223,XIY,DSN,1500187200,1500192000,0.9761380283856662
MU2338,XIY,KMG,1500187500,1500196200,0.9679612034705531
GS7655,XIY,HLD,1500187800,1500204300,0.9922510380694712
EU2264,WNZ,CGO,1500188100,1500195900,0.9750255342243189
EU2264,WNZ,LHW,1500188100,1500206400,0.9926769587864194
MU5877,LZO,HGH,1500274800,1500284400,0.9788484400584397
UQ2001,KHG,AKU,1500275400,1500277800,0.9601159472914589
3U8227,NKG,CGQ,1500275400,1500283800,0.9828393845187706
8L9816,MIG,LJG,1500276300,1500281400,0.9766516007138568
FU6673,KHN,LHW,1500276600,1500285600,0.9772230454821292
SC4798,WUH,XMN,1500277200,1500282600,0.9928342591684146
UQ2001,KHG,AKU,1500361800,1500364200,0.9528526658044728
8L9614,NNG,CGO,1500363600,1500372600,0.9857119064762275
8L9721,KMG,INC,1500364500,1500375000,0.9723350296920773
EU2240,CGO,KWE,1500452100,1500460200,0.9791549297759787
MU5491,LZO,KMG,1500452100,1500456900,0.9686369669623021
JD5240,HET,NZH,1500453300,1500461700,0.9828536028979749
CZ6935,ZUH,HAK,1500453600,1500456900,0.9798524469811388
HU7896,WNZ,XIY,1500453600,1500463200,0.9843375524476234
HU7896,WNZ,LHW,1500453600,1500473100,0.9950460400669942
JD5532,HRB,SYX,1500453900,1500479400,0.9950044952094594
DZ6234,KHN,ZUH,1500454200,1500460500,0.9750373741180149
EU6668,CSX,CTU,1500537900,1500545100,0.9799439829540629
TV9855,CTU,LXA,1500538200,1500546900,0.9833268391328333
EU2240,CGO,KWE,1500538500,1500546600,0.9840728127582146
CZ6242,CGO,INC,1500540600,1500546900,0.9794738787381925
8L9858,TCZ,KMG,1500540600,1500544800,0.9878219317908897
KN2366,SHA,SJW,1500627600,1500635100,0.9848253720295006
MU5270,WUH,PVG,1500630000,1500635700,0.9751679328098793
HU7276,HRB,CAN,1500630900,1500652200,0.9838188374447104
HU7276,HRB,TAO,1500630900,1500638100,0.9709704087948532
CZ6928,TAO,URC,1500714000,1500737400,0.9919170782175797
HU7276,HRB,CAN,1500714600,1500735900,0.9916797613678326
8L9716,HET,TYN,1500714900,1500718500,0.9824116131532846
MF8194,HLD,FOC,1500715800,1500737700,0.992908179360775
UQ2001,AKU,AAT,1500715800,1500720600,0.9727838691799826
JR1540,THQ,XIY,1500715800,1500720600,0.986174944426811
FM9374,XMN,SHA,1500804900,1500811500,0.9810114630498026
SC8728,TNA,HRB,1500804900,1500813300,0.9848337714974476
CZ6315,SHE,CAN,1500805800,1500819900,0.9878050876993709
CZ3828,NKG,SZX,1500890700,1500898500,0.9908910515133242
SC8728,TNA,HRB,1500891300,1500899700,0.9854264244518478
UQ2007,URC,SHF,1500892200,1500895800,0.9722774609899548
CZ8689,DLC,HGH,1500892500,1500900600,0.9767674203704677
MU2278,XIY,CKG,1500893400,1500899400,0.9723790100807503
FU6501,FOC,PEK,1500980400,1500990600,0.9859824834524541
UQ2505,URC,YIN,1500982200,1500986400,0.971323886787403
AQ1032,SHE,CAN,1500983100,1501003500,0.6051683245596418
HU7356,XMN,CIH,1500983400,1500991800,0.9807423741906863
FU6501,FOC,PEK,1501066800,1501077000,0.9849446800752375
FU6674,LHW,KHN,1501066800,1501075500,0.9747578253324084
FU6574,HIA,FOC,1501067700,1501074600,0.9816711993600712
MF8133,JJN,TSN,1501068000,1501085100,0.990784094502101
UQ2505,URC,YIN,1501068600,1501072800,0.9773914072948764
G52676,NZH,HET,1501068600,1501077300,0.9814879054353445
AQ1032,SHE,CAN,1501069500,1501089900,0.6954389476409993
UQ2003,AKU,AAT,1501070100,1501075800,0.9726599608142352
PN6903,CKG,WXN,1501156800,1501159200,0.9669889832629929
G52686,ERL,HET,1501157700,1501160100,0.9489194838543603
AQ1038,DLC,CAN,1501158300,1501176600,0.6831842485515582
UQ2008,SHF,URC,1501158600,1501162200,0.9776573418984674
GS6660,CIH,HET,1501158600,1501163100,0.9825897131189111
SC8772,MDG,DLC,1501159800,1501165500,0.9866514140680755
SC8772,MDG,TNA,1501159800,1501173000,0.9931452984910389
FU6628,HET,HRB,1501160100,1501167600,0.9815922686555724
KN5837,NAY,NNY,1501244100,1501250700,0.9829984953016547
GY7128,HFE,KWE,1501244400,1501256100,0.9809580604090933
AQ1038,DLC,CAN,1501244700,1501263000,0.6831842485515582
G52902,TSN,XIY,1501246200,1501261200,0.9867439037029857
MU5758,KMG,LJG,1501334100,1501337700,0.9615980194761575
9C867V,HRB,SJW,1501334100,1501341900,0.41073144958251206
PN6904,WXN,CKG,1501334400,1501336800,0.9746088643793555
MU5229,KMG,JHG,1501335300,1501339200,0.9639415484458289
KN5838,NNY,NAY,1501335900,1501341900,0.9790742489424719
TV9903,LXA,XIY,1501335900,1501346700,0.9864135944385046
KY8247,KMG,LUM,1501336500,1501340100,0.9843526229741096
G52710,WUZ,CKG,1501420200,1501429800,0.9732451537957728
G52710,WUZ,KWL,1501420200,1501422600,0.9425023568344033
PN6904,WXN,CKG,1501420800,1501423200,0.9703437828883249
PN6232,XMN,CKG,1501421100,1501435500,0.9912873933260729
MF8048,TAO,HGH,1501421400,1501428300,0.9721577295932475
MU5229,KMG,JHG,1501421700,1501425600,0.9678013534386033
UQ2002,AAT,AKU,1501422000,1501426200,0.9718955566907418
CA3685,NKG,DLC,1501422300,1501428600,0.9879501651009724
8L9876,XMN,KMG,1501422600,1501432500,0.9896049569851528
PN6302,JJN,CKG,1501422900,1501433100,0.9889878071556232
DZ6260,NTG,ZUH,1501509600,1501516500,0.9797023777727546
FU6674,KHN,FOC,1501510200,1501516200,0.9848890987232141
UQ2004,AAT,AKU,1501511700,1501517400,0.9689598443187609
CZ6449,DLC,TNA,1498951200,1498955400,0.019089396505309483
CZ6954,URC,SJW,1499043300,1499056500,0.024792856076206255
CZ6479,TAO,INC,1499303400,1499312100,0.027730034276810585
CZ6425,WUH,KMG,1499481600,1499489400,0.01162155214051721
CZ6954,SJW,DLC,1499923500,1499928900,0.008216219271242784
CZ6580,CKG,TSN,1500009300,1500018000,0.9883566208949625
CZ3917,CAN,WUX,1500540900,1500549900,0.08963757254298259
CZ6324,CAN,DLC,1500714300,1500726900,0.08826671192803573
CZ6705,SJW,XNN,1500890400,1500898500,0.9709075475167412
CZ3918,WUX,CAN,1501158300,1501167000,0.023001015998384396
CZ3918,WUX,CAN,1501244700,1501253400,0.010198365888738485
CZ6966,XIY,DLC,1501420800,1501429800,0.010995740616283145
FM9211,SHA,ZUH,1499041500,1499051100,0.06335495366047984
FM9331,SHA,SZX,1499126400,1499135400,0.026818675815175518
FM9115,SHA,TSN,1499393100,1499400900,0.05850957334737119
FM9399,SHA,CSX,1500277200,1500284400,0.007380701144349492
FM9518,WNZ,PVG,1500983400,1500987600,0.061736861722443186
FM9336,LFQ,PVG,1501160100,1501167900,0.12324331958960306
FM9257,PVG,XMN,1501510800,1501517700,0.2129656909679201
ZH9330,ZHA,SZX,1498866600,1498870500,0.03439559806501104
ZH9325,SZX,NNG,1498952700,1498957200,0.02364888382676154
ZH9387,NNG,CGO,1499040000,1499049300,0.020347358870927305
ZH9913,SZX,TAO,1500185400,1500196500,0.0970881239358177
ZH9726,SHE,WUX,1500451800,1500460200,0.3540531597260674
ZH9915,SZX,TAO,1500540900,1500552000,0.027902431790048046
ZH9373,NNG,CKG,1501159500,1501165800,0.23295473530482597
ZH9983,CAN,HFE,1501421100,1501428600,0.052987729985487855
9C8881,SHA,SZX,1499394300,1499403600,0.10323259492948292
9C8764,FOC,YTY,1499658000,1499664300,0.03942543253875155
9C8855,SHA,CAN,1499834700,1499843400,0.017114352803977006
9C8869,PVG,HRB,1500363000,1500374100,0.1039757350186522
9C8508,INC,PVG,1500628800,1500639600,0.02241498639989445
9C8523,SHA,ENH,1500980700,1500988800,0.040234509506754015
ZH9306,CGO,SZX,1498951200,1498959600,0.04030873610423307
ZH9442,CTU,CAN,1499570100,1499578500,0.0367851920036393
ZH9978,NGB,CAN,1499748000,1499755800,0.5275391554006369
ZH9591,TYN,INC,1500008400,1500012900,0.019253169890098273
ZH9173,WUX,NZH,1500452400,1500465000,0.016707402303092967
ZH9642,YNT,SZX,1500715800,1500727800,0.1642126876210629
ZH9878,HGH,SZX,1501069500,1501077600,0.01894399068500321
ZH9826,WUX,CAN,1501334100,1501342500,0.40130286569979984
GS7577,URC,TSN,1499216400,1499229600,0.034085953342615015
GS6567,HAK,CSX,1499304300,1499311500,0.029291335879068955
GS7857,XIY,KMG,1499395200,1499404200,0.011712095544991892
GS7822,DLC,TSN,1499656800,1499660700,0.02048829651522957
GS6509,TSN,WUH,1499922600,1499929800,0.05037496118925959
GS7577,TSN,CGQ,1500011400,1500018300,0.03621290371833507
GS6534,JJN,HAK,1500185100,1500192600,0.04634445053449918
GS7893,TSN,NGB,1500276600,1500284400,0.03263437564780732
GS7893,TSN,NGB,1500363600,1500370800,0.4108202414345318
GS7858,XIY,TSN,1500628500,1500635400,0.02507012321598011
GS6568,CSX,HAK,1500715500,1500722400,0.3138005746780258
GS7840,URC,TSN,1500980400,1500993900,0.014022066261401624
GS7866,HAK,TSN,1501157100,1501169400,0.2519544671560692
MU5987,KMG,BSD,1498953000,1498956600,0.03369223818892443
MU5987,KMG,BSD,1499040900,1499044200,0.04829866213782237
MU5825,KMG,KWL,1499304300,1499309700,0.017783233761974316
MU5741,JHG,KMG,1499393700,1499397600,0.027930522295354723
MU5927,KMG,WNH,1499480400,1499483100,0.04243349006115773
MU5743,KMG,CAN,1500010500,1500018600,0.0362176988240531
MU5815,KMG,LPF,1500186300,1500189300,0.03041807408380913
MU5732,KMG,XIC,1500274800,1500278400,0.007016541878621507
MU5928,KMG,SHA,1500274800,1500286200,0.052071341968669166
MU5983,KMG,BSD,1500451500,1500454800,0.041624343604082265
MU9738,KMG,LUM,1500537600,1500540900,0.1096419092663528
MU5914,JHG,KMG,1501420800,1501424400,0.03805456848852886
CA1913,HGH,HET,1498952400,1498962000,0.024657307490166643
CA1228,INC,PEK,1499217300,1499224200,0.03784458569691895
CA195X,PEK,WNZ,1499218200,1499227800,0.02364719502760425
CA1916,LJG,HGH,1499569500,1499580900,0.154387795402807
CA1914,HET,HGH,1499656200,1499664900,0.3561192130464647
CA1705,HGH,PEK,1499834700,1499843100,0.012664255520503905
CA1730,CAN,HGH,1501243800,1501251600,0.01953834016427948
JD5336,NKG,HAK,1498866900,1498877400,0.017506424626261924
JD5639,XIY,KWE,1499217000,1499223600,0.021721998572535716
JD5519,KWL,TYN,1499480700,1499489400,0.02191818857517567
JD5356,DLC,SYX,1500100800,1500121800,0.8189302405338228
JD5356,DLC,WUH,1500100800,1500109500,0.028229705642986085
JD5356,DLC,WUH,1500187200,1500195900,0.021254986252724085
JD5398,HET,SYX,1500629100,1500649500,0.1722468425304952
JD5398,HET,CGO,1500629100,1500634500,0.044364005263839684
JD5514,SYX,YIC,1500807000,1500814800,0.022444090830903953
JD5705,WUH,ENH,1500891000,1500895200,0.006339558620175574
JD5374,CGO,HAK,1500983700,1500994200,0.02246800143892371
JD5756,TAO,XIY,1501510200,1501518000,0.015825261073041854
CA1662,CGQ,PEK,1499126400,1499133300,0.020575247642460548
CA1840,NGB,PEK,1499745600,1499754300,0.02745427948695468
CA1430,CKG,PEK,1499835300,1499845200,0.009983517672702813
CA1860,LZH,PEK,1499922300,1499933100,0.036367752089016596
CA1210,XIY,PEK,1500010200,1500017100,0.024722012498545786
CA1561,PEK,NKG,1500099000,1500106500,0.9887417487898352
CA1581,PEK,KHN,1501067100,1501075800,0.019483163844719743
CA1525,PEK,TAO,1501244700,1501250400,0.04925884455840192
CZ3731,ZUH,PEK,1499041500,1499052900,0.04976414732102567
CZ3737,ZUH,CGO,1499129400,1499138100,0.021646048261576314
CZ8252,HAK,ZUH,1499480700,1499484000,0.04129395863440837
CZ3750,HGH,ZUH,1499569500,1499577600,0.01614624174017339
CZ3761,WUH,XIY,1499655600,1499661000,0.007133155276547307
CZ3737,CGO,CGQ,1499746500,1499755800,0.009635149537830899
CZ3732,PEK,ZUH,1499834100,1499846700,0.05309921610797972
CZ3762,XIY,WUH,1499924100,1499929500,0.028052580673719785
CZ3772,DLC,KHN,1500099600,1500108600,0.9635918642889025
CZ3762,WUH,ZUH,1500451500,1500457800,0.4062985827277279
CZ3735,ZUH,PEK,1500454200,1500465300,0.11238491633945197
CZ3762,WUH,ZUH,1500537900,1500544200,0.006135267629586882
CZ3747,ZUH,KMG,1500806400,1500813300,0.18362241703740712
CZ3739,ZUH,PEK,1501244400,1501255500,0.07621387629817472
CZ3788,KWE,ZUH,1501333200,1501338300,0.003935612076585633
MF8341,FOC,SZX,1498951500,1498956300,0.04702042767290093
MF8214,INC,CGO,1500099900,1500105900,0.037486296411949595
MF8058,DLC,PVG,1500362700,1500369900,0.013431466738332747
MF8586,SHA,FOC,1500629100,1500634800,0.008660680214544815
MF8312,CGO,HGH,1500981900,1500987900,0.2124350557814984
MU2151,XIY,PVG,1499216400,1499224500,0.028683674944903256
MU9992,KWL,LHW,1499481300,1499490600,0.007431723922558299
MU9994,DYG,LHW,1499569200,1499576400,0.006048359693894257
MU9995,LHW,HFE,1499925300,1499932800,0.005066319708324227
MU9995,LHW,HFE,1500011700,1500019200,0.045115381044852
MU9996,HFE,LHW,1500453900,1500462600,0.007858403634651168
MU9996,HFE,LHW,1500540300,1500549000,0.00734133985930557
MU2270,GOQ,XIY,1501421100,1501429200,0.010632274692089237
CZ6691,KHG,KRL,1499216400,1499221200,0.018239597121534428
CZ6812,KHG,URC,1499395200,1499401800,0.01847334921052198
CZ6677,URC,KRL,1499658900,1499662200,0.02646562954327406
CZ6678,IQM,KRL,1500362400,1500365400,0.0719910083183315
CZ8614,HTN,AKU,1500453300,1500456600,0.04238239868391348
CZ6897,URC,NLT,1500628500,1500631800,0.05835168913169891
CZ6877,URC,KCA,1501333800,1501337100,0.04761513801504603
CZ8514,DLU,CAN,1499834400,1499841600,0.008778665033347718
CZ3482,KMG,CAN,1500099000,1500106500,0.13919432609381366
CZ3482,KMG,CAN,1500185400,1500192900,0.08498588943098426
DZ6257,SZX,NKG,1499218500,1499226600,0.037856596904725696
DZ6217,SZX,WUX,1499395200,1499403300,0.033839243910372456
DZ6251,ZUH,CSX,1499480400,1499485500,0.03192120325841988
DZ6259,NTG,YNT,1499572500,1499578200,0.05780434474513926
DZ6283,LHW,TSN,1499748000,1499757000,0.0829222024398521
DZ6242,LYG,SZX,1500276000,1500285600,0.06150141525239611
DZ6284,TSN,LHW,1500538800,1500547500,0.033715214460338316
DZ6216,URC,CGO,1500629100,1500642300,0.02856035712893213
DZ6232,ACX,SZX,1500804600,1500810900,0.040531252070758625
DZ6230,ACX,SZX,1500891000,1500897300,0.016026791098940063
DZ6258,NKG,SZX,1500983100,1500991200,0.9779728146547761
MU5281,YUS,LXA,1499217000,1499222100,0.0457960404583369
MU5282,LXA,YUS,1499570400,1499575800,0.05315165615773248
MU5282,LXA,YUS,1499656800,1499661900,0.03743887357023368
MU5282,YUS,CTU,1500010200,1500015900,0.030534153275814324
MU5373,CTU,KHN,1500186900,1500195300,0.06348471231615696
MU5495,CTU,HGH,1500453000,1500462900,0.01142957394362746
MU5374,NGB,KHN,1501068000,1501072200,0.034581647620792445
MU5280,TNA,CTU,1501245300,1501254600,0.025341138777108498
MU5280,TNA,CTU,1501420500,1501429800,0.012913680935031601
3U8961,CTU,PVG,1498866300,1498876500,0.02692559679564904
3U8737,CTU,CAN,1498950300,1498958700,0.02846751208140704
3U8877,INC,HRB,1499305200,1499315700,0.015571966603278458
3U8567,TSN,LHW,1499395500,1499404200,0.0075849411609363055
3U8963,CTU,PVG,1499569800,1499580300,0.04691683411894354
3U8973,CKG,PVG,1500275700,1500284100,0.01028457141920418
3U8832,PEK,CKG,1500806400,1500817200,0.02692708474376372
3U8850,SHE,TYN,1501067100,1501074000,0.02401231397639136
3U8952,CSX,CKG,1501158300,1501163400,0.015805194332253806
3U8736,CAN,CTU,1501336500,1501345800,0.123681641378836
DZ624Q,WDS,CGO,1499303400,1499306700,0.06872942429429092
DZ6250,WDS,SZX,1499304600,1499313300,0.06475796180605295
DZ6243,SZX,CGO,1499745900,1499755200,0.018085092662409714
DZ6283,LHW,TSN,1499834400,1499843400,0.0056024671009259714
DZ6217,WUX,CGQ,1500011100,1500020700,0.008367626332280583
DZ6259,YNT,CGQ,1500185400,1500192000,0.032331920635205305
DZ6218,CGQ,WUX,1500630600,1500641100,0.02006137283076137
DZ6244,INC,CGO,1500891000,1500896700,0.004686484295668995
DZ6258,NKG,SZX,1501069500,1501077600,0.011133912173227588
DZ6249,WDS,CGO,1501512300,1501515600,0.008039515709192742
MU5903,KMG,JHG,1499043000,1499046900,0.03585344734055243
MU5901,KMG,JHG,1499127600,1499131500,0.023988354615116357
MU5947,DLU,TSN,1499217600,1499229600,0.04617586347504328
MU9709,DLU,NKG,1499303700,1499314800,0.03572859124045023
MU5741,JHG,KMG,1499480100,1499484000,0.024426955044357983
MU5942,DLU,KMG,1499571000,1499574300,0.09880176757864989
MU5732,KMG,XIC,1500187800,1500191700,0.030889763647281715
MU5737,KMG,CAN,1500276900,1500284700,0.04479059726729304
MU5993,LJG,JHG,1501156800,1501161000,0.07527359996577997
MU5960,KMG,SHA,1501244400,1501256400,0.15103154006528613
MU5733,LJG,KMG,1501421400,1501424700,0.029956250996537596
CZ3280,XIY,SZX,1498950600,1498960500,0.03155803265126087
CZ6615,XIY,PVG,1499040600,1499048400,0.029845662347879623
CZ6616,PVG,XIY,1499570700,1499580600,0.03666367190833808
CZ6593,SZX,XIY,1499658900,1499668500,0.01965470402432327
CZ3212,XIY,CAN,1500451200,1500461100,0.03795794545431128
CZ3208,XIY,CAN,1500627600,1500637500,0.033538926496449836
CZ3208,XIY,CAN,1500714000,1500723900,0.10234208941535575
CA1731,HGH,SZX,1498951800,1498960200,0.0642788284472332
CA1720,CAN,HGH,1499395200,1499402700,0.02094935680949438
CA1707,HGH,PEK,1500362400,1500370800,0.3658149052803426
CA1725,HGH,CAN,1500363000,1500370500,0.10341718131692003
CA1745,HGH,CTU,1500714900,1500725400,0.024853815646391084
CA1730,CAN,HGH,1501157400,1501165200,0.19972154384110433
CA1739,HGH,PEK,1501158000,1501166400,0.05536502423801411
GS757R,CGQ,TSN,1499041800,1499047800,0.02627463477312112
GS6533,HAK,JJN,1499217300,1499223900,0.03889849213670769
GS6579,CSX,TSN,1499395800,1499403900,0.007815842225538251
GS6533,JJN,HFE,1499572200,1499578200,0.03186613558806048
GS7894,NGB,TSN,1499832600,1499840100,0.009052420265241218
GS7502,CSX,URC,1500099600,1500116700,0.03211073534873539
